"uuid","skill_name","level"
"c0ccd057-5aed-4f2f-83a7-fedd88798a99","Groovy","ADVANCED"
"c0ccd057-5aed-4f2f-83a7-fedd88798a99","Bash","ADVANCED"
"c0ccd057-5aed-4f2f-83a7-fedd88798a99","JSON","ADVANCED"
"c0ccd057-5aed-4f2f-83a7-fedd88798a99","Leadership","INTERMEDIATE"
"164e77f7-03cc-4e00-856a-102286c21f80","JSON","ADVANCED"
"ac4c28f1-77ae-45da-aa6f-1f8c318a0ada","JavaScript","ADVANCED"
"4d5e5876-e5f0-4a08-ae66-7b67814cab99","PHP","NOVICE"
"4d5e5876-e5f0-4a08-ae66-7b67814cab99","Git","NOVICE"
"128c4850-4078-43dd-9222-deb3b73ac864","JavaScript","ADVANCED"
"b38c1599-b8e2-4525-b16c-37fbec0e43e2","Redux","ADVANCED"
"69835cef-9c17-4f08-a06d-bd83dcf497b3","DynamoDB","INTERMEDIATE"
"e20b8330-3847-4a95-a649-d6b6f5fa45a0","Sauce Labs","NOVICE"
"8b67b8be-48e3-42c7-a6d2-e95b00265e30","Written English","ADVANCED"
"50f6e012-5aec-4a8c-9daa-fae75b317a8c","DynamoDB","ADVANCED"
"c038eff2-22a7-4589-9f42-3a9a85122382","Angular","NOVICE"
"c038eff2-22a7-4589-9f42-3a9a85122382","MySQL","ADVANCED"
"4629c059-a37f-4111-92d7-4057ddd02e29","Laravel","INTERMEDIATE"
"ac4c28f1-77ae-45da-aa6f-1f8c318a0ada","React","INTERMEDIATE"
"40197f74-8a7d-4cdb-ad67-d3cdd8585765","Go","NOVICE"
"d72975eb-fe5e-44e5-978f-d99fa002eea6","Auth Protocols","ADVANCED"
"946f8733-031d-4b43-a7a6-dc9e12725f90","XCTest","ADVANCED"
"946f8733-031d-4b43-a7a6-dc9e12725f90","App Store process","ADVANCED"
"946f8733-031d-4b43-a7a6-dc9e12725f90","Git","ADVANCED"
"946f8733-031d-4b43-a7a6-dc9e12725f90","Swift","ADVANCED"
"c4b448f5-2c6f-419a-ba98-b81e30d03aad","App/Play Store process","ADVANCED"
"c4b448f5-2c6f-419a-ba98-b81e30d03aad","Git","ADVANCED"
"00398a29-9972-4fbf-b319-d602c2906867","DynamoDB","ADVANCED"
"946f8733-031d-4b43-a7a6-dc9e12725f90","Scrum","ADVANCED"
"946f8733-031d-4b43-a7a6-dc9e12725f90","github","ADVANCED"
"c4b448f5-2c6f-419a-ba98-b81e30d03aad","Design patterns","ADVANCED"
"55f0a025-5f5d-419e-977c-61ac6469908d","DynamoDB","ADVANCED"
"c4b448f5-2c6f-419a-ba98-b81e30d03aad","A/B Testing","ADVANCED"
"c4b448f5-2c6f-419a-ba98-b81e30d03aad","SQLite","INTERMEDIATE"
"74c0779f-8394-4e69-9d12-4c974a976cb8","Bash","NOVICE"
"de3eb990-3af1-494f-a5a0-0e2dd930838f","Bash","ADVANCED"
"3913c0b8-ebc5-4f4a-813b-1fb96b668708","Bash","ADVANCED"
"7f3f8d59-14a7-4cb4-8b93-7f83ed19585f","Bash","NOVICE"
"0120e441-91c9-4e38-8065-f37db773ec9d","XML","INTERMEDIATE"
"7cbf3d30-b1cf-46ad-bc44-bf1749a1b08d","Java","INTERMEDIATE"
"ac4c28f1-77ae-45da-aa6f-1f8c318a0ada","Docker","NOVICE"
"7cbf3d30-b1cf-46ad-bc44-bf1749a1b08d","Neo4j","NOVICE"
"7cbf3d30-b1cf-46ad-bc44-bf1749a1b08d","Redis","INTERMEDIATE"
"ac4c28f1-77ae-45da-aa6f-1f8c318a0ada",".NET","ADVANCED"
"7a2cd1c2-aea9-4efb-8582-fbb277b8ace5","Bash","INTERMEDIATE"
"8944ac2f-b178-4152-a19f-cc8ec5888f56","Bash","INTERMEDIATE"
"0120e441-91c9-4e38-8065-f37db773ec9d","Bash","INTERMEDIATE"
"386d4538-1aec-49e0-a512-7952ce948f40","Backend","NOVICE"
"164e77f7-03cc-4e00-856a-102286c21f80","SQL","INTERMEDIATE"
"b1b4ad2c-ccbf-4c07-a10f-64e2165f4222","CircleCI","NOVICE"
"0f18536b-6f83-47c1-9ecf-4330edf72cb7","Dependencies injections","INTERMEDIATE"
"0aa79fa9-c9d6-4ede-aa21-6b19c6570499","Bash","NOVICE"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","Photoshop","NOVICE"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","Core data","NOVICE"
"4836870f-22f3-4851-8f7d-cdd32839d484","Bash","NOVICE"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","Competitive Analysis","ADVANCED"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","MySQL","INTERMEDIATE"
"506843dc-6983-4c6e-a0a5-e5eb207937a0","Bash","INTERMEDIATE"
"946f8733-031d-4b43-a7a6-dc9e12725f90","Apollo","NOVICE"
"946f8733-031d-4b43-a7a6-dc9e12725f90","Firebase","INTERMEDIATE"
"946f8733-031d-4b43-a7a6-dc9e12725f90","Manual Testing","INTERMEDIATE"
"946f8733-031d-4b43-a7a6-dc9e12725f90","GraphQL","NOVICE"
"0355ac2a-a619-41e4-bf3f-4d65e19843e2","C++","INTERMEDIATE"
"80582522-a860-4d46-a9b1-e596f0f3bba1","Django","INTERMEDIATE"
"74d96f2f-445d-457a-8b7c-d89047944633","GraphQL","NOVICE"
"8b66a07c-9ec4-41cb-b313-4a360f91c5cc","TypeScript","ADVANCED"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","GraphQL","NOVICE"
"c777661c-3351-4de0-b115-9898ff62d1d8","JSON","NOVICE"
"946f8733-031d-4b43-a7a6-dc9e12725f90","bitbucket","ADVANCED"
"56af0242-14ec-4c53-ba16-1414e865f75f","Continuous Integration","ADVANCED"
"a902991c-1e55-4c05-b63e-cec8e57e5ae8","Mocha","INTERMEDIATE"
"26e4a51c-40d8-40fd-9aa1-43d7dc2ba09d","HTML5","INTERMEDIATE"
"caf5d41d-8371-4b49-9eb6-ea24eb42e265","Airflow","EXPERT"
"19533bf4-785b-4c59-85de-8caf56860599","Bash","ADVANCED"
"2dc78c1d-73b3-41b5-879b-a181c3db2e19","Wireframing","ADVANCED"
"946f8733-031d-4b43-a7a6-dc9e12725f90","Unit testing","INTERMEDIATE"
"946f8733-031d-4b43-a7a6-dc9e12725f90","Design patterns","ADVANCED"
"946f8733-031d-4b43-a7a6-dc9e12725f90","Core data","NOVICE"
"a902991c-1e55-4c05-b63e-cec8e57e5ae8","Verbal English Proficiency","EXPERT"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","Dependencies injections","INTERMEDIATE"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","oauth2","INTERMEDIATE"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","Probability Statistics","INTERMEDIATE"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","Postman","INTERMEDIATE"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","Communication","ADVANCED"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","English","ADVANCED"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","Mobile Design","ADVANCED"
"0355ac2a-a619-41e4-bf3f-4d65e19843e2","AWS SQS","ADVANCED"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","R","NOVICE"
"3b400cbb-1a46-4e95-a7a6-31f80aff02cc","github","INTERMEDIATE"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","Unit testing","INTERMEDIATE"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","Manual Testing","INTERMEDIATE"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","Objective-c","ADVANCED"
"c0ccd057-5aed-4f2f-83a7-fedd88798a99","Scala","NOVICE"
"26e4a51c-40d8-40fd-9aa1-43d7dc2ba09d","Android Java Development Kit","ADVANCED"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","Pattern Design","INTERMEDIATE"
"187c9b23-fdca-4d84-b484-33b0613eb879","SOAP","NOVICE"
"745f9993-f2ab-4f71-82e4-33b39a41fa27","ActionScript 3","EXPERT"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","Web UI Automation Testing","INTERMEDIATE"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","C++","INTERMEDIATE"
"81bbb330-3861-4f66-bf7f-d67bb87a67c3","Continuous Integration","INTERMEDIATE"
