"uuid","skill_name","level"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0",".NET","INTERMEDIATE"
"6e99edbc-18f0-43ec-891f-a597192ed91c",".NET","ADVANCED"
"06b36793-381f-4a5f-8544-dd6a02bb4513",".NET","INTERMEDIATE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f",".NET","INTERMEDIATE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950",".NET","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae",".NET Core","NOVICE"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0",".NET Core","NOVICE"
"6e99edbc-18f0-43ec-891f-a597192ed91c",".NET Core","INTERMEDIATE"
"06b36793-381f-4a5f-8544-dd6a02bb4513",".NET Core","NOVICE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f",".NET Core","NOVICE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","A/B Testing","INTERMEDIATE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","A/B Testing","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","A/B Testing","INTERMEDIATE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","Accessibility","INTERMEDIATE"
"5954d235-8fb1-4af8-8613-67aac403049e","Accessibility","ADVANCED"
"cd9974b9-da79-4b19-af78-fefac8849238","Accessibility","NOVICE"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0","ActionScript 2","NOVICE"
"cd9974b9-da79-4b19-af78-fefac8849238","ActionScript 2","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","ActionScript 3","ADVANCED"
"cd9974b9-da79-4b19-af78-fefac8849238","ActionScript 3","NOVICE"
"cd9974b9-da79-4b19-af78-fefac8849238","Adobe Creative Suite","NOVICE"
"5954d235-8fb1-4af8-8613-67aac403049e","Adobe XD","INTERMEDIATE"
"5954d235-8fb1-4af8-8613-67aac403049e","Advanced ScrumMaster (CSM)","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","Agile Testing","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","Airflow","ADVANCED"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","Airflow","NOVICE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","Airflow","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","Akamai","INTERMEDIATE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","Akamai","NOVICE"
"5954d235-8fb1-4af8-8613-67aac403049e","Alexa skills","NOVICE"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0","Android Java Development Kit","NOVICE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","Android Java Development Kit","NOVICE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","Android Java Development Kit","ADVANCED"
"5954d235-8fb1-4af8-8613-67aac403049e","Android Java Development Kit","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","Angular","INTERMEDIATE"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0","Angular","INTERMEDIATE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","Angular","ADVANCED"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","Angular","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","Angular","INTERMEDIATE"
"5954d235-8fb1-4af8-8613-67aac403049e","Angular","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AngularJs","ADVANCED"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0","AngularJs","INTERMEDIATE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","AngularJs","NOVICE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AngularJs","ADVANCED"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AngularJs","NOVICE"
"5954d235-8fb1-4af8-8613-67aac403049e","AngularJs","ADVANCED"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","ansible","INTERMEDIATE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","ansible","NOVICE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","ansible","NOVICE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","ansible","NOVICE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","ansible","NOVICE"
"cd9974b9-da79-4b19-af78-fefac8849238","ansible","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","apache","EXPERT"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0","apache","INTERMEDIATE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","apache","INTERMEDIATE"
"06b36793-381f-4a5f-8544-dd6a02bb4513","apache","INTERMEDIATE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","apache","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","apache","INTERMEDIATE"
"5954d235-8fb1-4af8-8613-67aac403049e","apache","ADVANCED"
"cd9974b9-da79-4b19-af78-fefac8849238","apache","ADVANCED"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","Apache Bench (ab)","ADVANCED"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","API Automation Testing","INTERMEDIATE"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0","API Manual Testing",
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","API Manual Testing","INTERMEDIATE"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0","API's","NOVICE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","API's","INTERMEDIATE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","API's","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","Apollo","NOVICE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","Apollo","NOVICE"
"5954d235-8fb1-4af8-8613-67aac403049e","Apollo","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","App Store process","INTERMEDIATE"
"5954d235-8fb1-4af8-8613-67aac403049e","App Store process","ADVANCED"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","App/Play Store process","INTERMEDIATE"
"5954d235-8fb1-4af8-8613-67aac403049e","App/Play Store process","ADVANCED"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","Appium","INTERMEDIATE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","Application Security","ADVANCED"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","Arduino","NOVICE"
"cd9974b9-da79-4b19-af78-fefac8849238","Arduino","INTERMEDIATE"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0","ASP","NOVICE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","ASP","ADVANCED"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","ASP","NOVICE"
"5954d235-8fb1-4af8-8613-67aac403049e","Augmented Reality","ADVANCED"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","Auth Protocols","INTERMEDIATE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","Auth Protocols","ADVANCED"
"06b36793-381f-4a5f-8544-dd6a02bb4513","Auth Protocols","INTERMEDIATE"
"cd9974b9-da79-4b19-af78-fefac8849238","Auth Protocols","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AW STS","EXPERT"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AW STS","ADVANCED"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS","EXPERT"
"bc7343e7-cd47-4d7c-bbca-506add76a7a0","AWS","NOVICE"
"6e99edbc-18f0-43ec-891f-a597192ed91c","AWS","INTERMEDIATE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","AWS","NOVICE"
"51259f56-93cf-4c9d-89f3-cd3e767cb80f","AWS","INTERMEDIATE"
"314911bb-28ae-44e0-a70e-a97bc01f0b18","AWS","INTERMEDIATE"
"5954d235-8fb1-4af8-8613-67aac403049e","AWS","NOVICE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","AWS","INTERMEDIATE"
"11c6f2e8-0110-4ac0-b2a7-9a889ce612f0","AWS API Gateway","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS Appsync","INTERMEDIATE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS Athena","ADVANCED"
"06b36793-381f-4a5f-8544-dd6a02bb4513","AWS Athena","INTERMEDIATE"
"c8d91564-77b4-46df-b7a4-8d25a82ad950","AWS Athena","NOVICE"
"c5a1f718-8a18-4b90-8d2a-cf22fb192dae","AWS Aurora","ADVANCED"
