"uuid","skill_name","level"
"2e7c0a41-8f17-4e58-881b-d1d3f7a8e266","Computer Vision","NOVICE"
"2e7c0a41-8f17-4e58-881b-d1d3f7a8e266","CMake","NOVICE"
"2e7c0a41-8f17-4e58-881b-d1d3f7a8e266","CSV","NOVICE"

"690c2647-bb01-49d3-bbcb-ae0ebce88669","Node.js","ADVANCED"
"690c2647-bb01-49d3-bbcb-ae0ebce88669","Redux","INTERMEDIATE"
"690c2647-bb01-49d3-bbcb-ae0ebce88669","HTML5","INTERMEDIATE"
"690c2647-bb01-49d3-bbcb-ae0ebce88669","Express","INTERMEDIATE"
"690c2647-bb01-49d3-bbcb-ae0ebce88669","TypeScript","EXPERT"
"690c2647-bb01-49d3-bbcb-ae0ebce88669","Python","ADVANCED"
"690c2647-bb01-49d3-bbcb-ae0ebce88669","React","ADVANCED"
"690c2647-bb01-49d3-bbcb-ae0ebce88669","GraphQL","INTERMEDIATE"
"690c2647-bb01-49d3-bbcb-ae0ebce88669","Apollo","INTERMEDIATE"
"690c2647-bb01-49d3-bbcb-ae0ebce88669","PyTest","ADVANCED"
"690c2647-bb01-49d3-bbcb-ae0ebce88669","Styled components","INTERMEDIATE"

"c370b19f-6186-4ec9-85f2-ed74a4411131","Express","INTERMEDIATE"
"c370b19f-6186-4ec9-85f2-ed74a4411131","Redux","NOVICE"
"c370b19f-6186-4ec9-85f2-ed74a4411131","Apollo","INTERMEDIATE"
"c370b19f-6186-4ec9-85f2-ed74a4411131","JavaScript","INTERMEDIATE"
"c370b19f-6186-4ec9-85f2-ed74a4411131","Node.js","ADVANCED"
"c370b19f-6186-4ec9-85f2-ed74a4411131","React","INTERMEDIATE"
"c370b19f-6186-4ec9-85f2-ed74a4411131","Python","ADVANCED"
"c370b19f-6186-4ec9-85f2-ed74a4411131","SQLAlchemy","ADVANCED"

"e0d0e4bd-af6c-4812-b463-d1f798cd3e74","Express","ADVANCED"
"e0d0e4bd-af6c-4812-b463-d1f798cd3e74","Jest","INTERMEDIATE"
"e0d0e4bd-af6c-4812-b463-d1f798cd3e74","React","EXPERT"
"e0d0e4bd-af6c-4812-b463-d1f798cd3e74","Apollo","INTERMEDIATE"
"e0d0e4bd-af6c-4812-b463-d1f798cd3e74","JavaScript","EXPERT"
"e0d0e4bd-af6c-4812-b463-d1f798cd3e74","Node.js","ADVANCED"


